Title,Description,Sentiment,Title_Emoji_Converted,Description_Emoji_Converted,Title_Clean,Description_Clean
"Great Budget CPU, Not Overclockable - Comes with Cooler","DISCLAIMER: This review covers 3 main items (CPU, MOBO, RAM). Links to the other parts are included (all available at Amazon for good prices). You'll read this review on each of the other parts as well.

WHY DID I BUY IT?
I recently built and absolute beast of a computer and kept my older one as a backup. Unfortunately, it decided to take a dive this past week with the motherboard failing catastropically. Given that it was 10 years old, I decided to replace the ""brains"" with something a little more modern, but not overkill. Because I had spent a LOT of money on a computer recently, I was trying to keep the repair under about $400 and here's what I did...

The BRAINS...
Intel i3-10100 Processor ($100): www.amazon.com/gp/product/B086MMRW87
MSI Mag B460 Motherboard ($110): www.amazon.com/gp/product/B08GXVP1DM
TeamGroup 16GB DDR4 ($60): www.amazon.com/gp/product/B07WNQVBZ6
*** These are the main parts that MUST be compatible.. and they are ***

I was worried about my hard drive, so I went ahead and splurged on a TeamGroup 1TB SSD ($75 -- www.amazon.com/gp/product/B07PX2KKHM) bringing my total to just under $400. I could have kept my old Seagate 500gb 5400 RPM drive but I had a little extra to spend and that greatly sped up boot and wait times.

For what it's worth, I also kept my existing Antec Power Supply (550W) that was replaced about a year ago, my case, and my now very old graphics card (R9 380 - 4gb). I already had a good monitor, mouse, and keyboard so those carried over as well.

So how did it go together? Pretty seamlessly with just 2 little hiccups.

HICCUP #1
RAM: I did not realize the motherboard I purchased has a standard RAM speed of 2666. It can get up to a max of 2933. So the RAM I purchased (3200 speed, CL 16) is overkill and I could have saved another $20 or so. But, I didn't... and it's my first build with TeamGroup RAM and I'm happy with it.

HICCUP #2
LAN/AUDIO: Once I got everything installed, the LAN would not connect to my network (wired, ethernet connection). A little troubleshooting found out YOU MUST TO UPGRADE THE LAN DRIVER for it to work. This means having another computer with internet and a flash drive. Likewise, I went ahead and updated the Audio driver and the sound was much crisper. So... take a moment and download all of the drivers in advance from the MSI website.

FIRST POWER ON: The computer started up, then turned off immediately. It then restarted on it's own and said the motherboard had detected changes so I needed to configure the BIOS. Entering BIOS found that everything was recognized. So I changed the first boot device to USB flash drive and plugged in my Windows 10 install flash drive and restarted.

Bottom Line: The Intel i3-10100 is a great little chip (not overclockable). The MSI 460 Torpedo is a decent motherboard (just update the LAN and Audio drivers) that boots quickly. In fact, it boots so quickly, I don't even see the POST screen. From cold to Windows is easily under 30 seconds.

The RAM is stable at 2666 and fast enough that I probably won't even push the 2933 setting. The SSD is very fast (functionally almost as fast as the M2 drive I have in my beast at a savings of $20-25). Even with the aging R9 graphics card, I'm easily hitting 60 FPS on modern titles at 1080 in medium to high settings. Sometime next year when graphics card prices drop to a reasonable level, I'll update that and have a second gaming rig ready.

Overall, I'm very happy with this setup.",positive,"Great Budget CPU, Not Overclockable - Comes with Cooler","DISCLAIMER: This review covers 3 main items (CPU, MOBO, RAM). Links to the other parts are included (all available at Amazon for good prices). You'll read this review on each of the other parts as well.

WHY DID I BUY IT?
I recently built and absolute beast of a computer and kept my older one as a backup. Unfortunately, it decided to take a dive this past week with the motherboard failing catastropically. Given that it was 10 years old, I decided to replace the ""brains"" with something a little more modern, but not overkill. Because I had spent a LOT of money on a computer recently, I was trying to keep the repair under about $400 and here's what I did...

The BRAINS...
Intel i3-10100 Processor ($100): www.amazon.com/gp/product/B086MMRW87
MSI Mag B460 Motherboard ($110): www.amazon.com/gp/product/B08GXVP1DM
TeamGroup 16GB DDR4 ($60): www.amazon.com/gp/product/B07WNQVBZ6
*** These are the main parts that MUST be compatible.. and they are ***

I was worried about my hard drive, so I went ahead and splurged on a TeamGroup 1TB SSD ($75 -- www.amazon.com/gp/product/B07PX2KKHM) bringing my total to just under $400. I could have kept my old Seagate 500gb 5400 RPM drive but I had a little extra to spend and that greatly sped up boot and wait times.

For what it's worth, I also kept my existing Antec Power Supply (550W) that was replaced about a year ago, my case, and my now very old graphics card (R9 380 - 4gb). I already had a good monitor, mouse, and keyboard so those carried over as well.

So how did it go together? Pretty seamlessly with just 2 little hiccups.

HICCUP #1
RAM: I did not realize the motherboard I purchased has a standard RAM speed of 2666. It can get up to a max of 2933. So the RAM I purchased (3200 speed, CL 16) is overkill and I could have saved another $20 or so. But, I didn't... and it's my first build with TeamGroup RAM and I'm happy with it.

HICCUP #2
LAN/AUDIO: Once I got everything installed, the LAN would not connect to my network (wired, ethernet connection). A little troubleshooting found out YOU MUST TO UPGRADE THE LAN DRIVER for it to work. This means having another computer with internet and a flash drive. Likewise, I went ahead and updated the Audio driver and the sound was much crisper. So... take a moment and download all of the drivers in advance from the MSI website.

FIRST POWER ON: The computer started up, then turned off immediately. It then restarted on it's own and said the motherboard had detected changes so I needed to configure the BIOS. Entering BIOS found that everything was recognized. So I changed the first boot device to USB flash drive and plugged in my Windows 10 install flash drive and restarted.

Bottom Line: The Intel i3-10100 is a great little chip (not overclockable). The MSI 460 Torpedo is a decent motherboard (just update the LAN and Audio drivers) that boots quickly. In fact, it boots so quickly, I don't even see the POST screen. From cold to Windows is easily under 30 seconds.

The RAM is stable at 2666 and fast enough that I probably won't even push the 2933 setting. The SSD is very fast (functionally almost as fast as the M2 drive I have in my beast at a savings of $20-25). Even with the aging R9 graphics card, I'm easily hitting 60 FPS on modern titles at 1080 in medium to high settings. Sometime next year when graphics card prices drop to a reasonable level, I'll update that and have a second gaming rig ready.

Overall, I'm very happy with this setup.",great budget cpu not overclockable  comes with cooler,"disclaimer this review covers 3 main items cpu mobo ram links to the other parts are included all available at amazon for good prices youll read this review on each of the other parts as well

why did i buy it
i recently built and absolute beast of a computer and kept my older one as a backup unfortunately it decided to take a dive this past week with the motherboard failing catastropically given that it was 10 years old i decided to replace the brains with something a little more modern but not overkill because i had spent a lot of money on a computer recently i was trying to keep the repair under about 400 and heres what i did

the brains
intel i310100 processor 100 wwwamazoncomgpproductb086mmrw87
msi mag b460 motherboard 110 wwwamazoncomgpproductb08gxvp1dm
teamgroup 16gb ddr4 60 wwwamazoncomgpproductb07wnqvbz6
 these are the main parts that must be compatible and they are 

i was worried about my hard drive so i went ahead and splurged on a teamgroup 1tb ssd 75  wwwamazoncomgpproductb07px2kkhm bringing my total to just under 400 i could have kept my old seagate 500gb 5400 rpm drive but i had a little extra to spend and that greatly sped up boot and wait times

for what its worth i also kept my existing antec power supply 550w that was replaced about a year ago my case and my now very old graphics card r9 380  4gb i already had a good monitor mouse and keyboard so those carried over as well

so how did it go together pretty seamlessly with just 2 little hiccups

hiccup 1
ram i did not realize the motherboard i purchased has a standard ram speed of 2666 it can get up to a max of 2933 so the ram i purchased 3200 speed cl 16 is overkill and i could have saved another 20 or so but i didnt and its my first build with teamgroup ram and im happy with it

hiccup 2
lanaudio once i got everything installed the lan would not connect to my network wired ethernet connection a little troubleshooting found out you must to upgrade the lan driver for it to work this means having another computer with internet and a flash drive likewise i went ahead and updated the audio driver and the sound was much crisper so take a moment and download all of the drivers in advance from the msi website

first power on the computer started up then turned off immediately it then restarted on its own and said the motherboard had detected changes so i needed to configure the bios entering bios found that everything was recognized so i changed the first boot device to usb flash drive and plugged in my windows 10 install flash drive and restarted

bottom line the intel i310100 is a great little chip not overclockable the msi 460 torpedo is a decent motherboard just update the lan and audio drivers that boots quickly in fact it boots so quickly i dont even see the post screen from cold to windows is easily under 30 seconds

the ram is stable at 2666 and fast enough that i probably wont even push the 2933 setting the ssd is very fast functionally almost as fast as the m2 drive i have in my beast at a savings of 2025 even with the aging r9 graphics card im easily hitting 60 fps on modern titles at 1080 in medium to high settings sometime next year when graphics card prices drop to a reasonable level ill update that and have a second gaming rig ready

overall im very happy with this setup"
Che bomba!,"Pagato 125 euro. Una bomba! Entry level quad core, nuovo chispet lga 1200. Intel, con questa gamma, ha fatto un bel salto avanti e nel mercato entry level si è piazzata decisamente davanti ai cari vecchi ryzen. Ho costruito una build per uso domestico/piccolo ufficio con poche centinaia di euro, ed il risultato è stato più che ottimo!
Ricordo che per chi è alla ricerca di una build decente (NON votata al gaming) questa è un'ottima scelta, considerando anche la grafica integrata che fa risparmiare sulla scheda video. E per chi volesse proprio concedersi un pò di momento ludico, qui fortnite e titoli simili non faticano.
L'unica pecca (ma il periodo è quello che è) è che si trovano poche schede madri lga 1200 ad un prezzo consono.",neutral,Che bomba!,"Pagato 125 euro. Una bomba! Entry level quad core, nuovo chispet lga 1200. Intel, con questa gamma, ha fatto un bel salto avanti e nel mercato entry level si è piazzata decisamente davanti ai cari vecchi ryzen. Ho costruito una build per uso domestico/piccolo ufficio con poche centinaia di euro, ed il risultato è stato più che ottimo!
Ricordo che per chi è alla ricerca di una build decente (NON votata al gaming) questa è un'ottima scelta, considerando anche la grafica integrata che fa risparmiare sulla scheda video. E per chi volesse proprio concedersi un pò di momento ludico, qui fortnite e titoli simili non faticano.
L'unica pecca (ma il periodo è quello che è) è che si trovano poche schede madri lga 1200 ad un prezzo consono.",che bomba,"pagato 125 euro una bomba entry level quad core nuovo chispet lga 1200 intel con questa gamma ha fatto un bel salto avanti e nel mercato entry level si  piazzata decisamente davanti ai cari vecchi ryzen ho costruito una build per uso domesticopiccolo ufficio con poche centinaia di euro ed il risultato  stato pi che ottimo
ricordo che per chi  alla ricerca di una build decente non votata al gaming questa  unottima scelta considerando anche la grafica integrata che fa risparmiare sulla scheda video e per chi volesse proprio concedersi un p di momento ludico qui fortnite e titoli simili non faticano
lunica pecca ma il periodo  quello che   che si trovano poche schede madri lga 1200 ad un prezzo consono"
Blazing fast,"Paired this with a Crucial BX500 1TB SSD, CORSAIR VENGEANCELPX 64GB RAM and the ASUS Prime H510M-E mother board.

The Movavi video editor now loads a file ready for editing in less than 4 seconds (my previous setup with 32Gb RAM used to take 90 seconds).",negative,Blazing fast,"Paired this with a Crucial BX500 1TB SSD, CORSAIR VENGEANCELPX 64GB RAM and the ASUS Prime H510M-E mother board.

The Movavi video editor now loads a file ready for editing in less than 4 seconds (my previous setup with 32Gb RAM used to take 90 seconds).",blazing fast,"paired this with a crucial bx500 1tb ssd corsair vengeancelpx 64gb ram and the asus prime h510me mother board

the movavi video editor now loads a file ready for editing in less than 4 seconds my previous setup with 32gb ram used to take 90 seconds"
Good processor,"Good processor.bang for bucks.everyday usage for office work is good enough.
If you want to play games also best.if you add a good GPU like rx570 ,rx 580, GTX 1660 super ,you achieve better gaming experience.

I play gta 5 without dedicated graphics card I was getting fps around 30-40fps on 720p resolution with Intel uhd 630 graphics which is playable.",positive,Good processor,"Good processor.bang for bucks.everyday usage for office work is good enough.
If you want to play games also best.if you add a good GPU like rx570 ,rx 580, GTX 1660 super ,you achieve better gaming experience.

I play gta 5 without dedicated graphics card I was getting fps around 30-40fps on 720p resolution with Intel uhd 630 graphics which is playable.",good processor,"good processorbang for buckseveryday usage for office work is good enough
if you want to play games also bestif you add a good gpu like rx570 rx 580 gtx 1660 super you achieve better gaming experience

i play gta 5 without dedicated graphics card i was getting fps around 3040fps on 720p resolution with intel uhd 630 graphics which is playable"
faster Processor speed in budget,"I like in 10000Rs segment processor
1. Inbuilt 4k support no need for Graphics Card for basic stuff like web browsing, ms office,watching 4k video at 60fps ( tested from OnePlus 6T 4k@60FPS )
buttery smooth in playback
2. base speed is 3.60ghz
3. supports 2666mhz Ram
4. power consumption is 65w which is good compare to older model 8th gen which consumption is 95w
5. I am editing 4k@60 in Adobe premier pro smoothly using HyperX 2666 DDR4 32GB RAM
6. SketchUp,AutoCAD 3D,Photoshop,Corel Draw works very good while you have ssd and more Ram configuration with this processor
7. Mac OS In VMware works good as it's virtualaization works Good

I suggest to buy Desktop Processor comparing to Laptop Processor

1 Higher clock speed
2 Can be upgrade
3 supporting motherboard support higher Ram speed and size so you will love to work with your computer",positive,faster Processor speed in budget,"I like in 10000Rs segment processor
1. Inbuilt 4k support no need for Graphics Card for basic stuff like web browsing, ms office,watching 4k video at 60fps ( tested from OnePlus 6T 4k@60FPS )
buttery smooth in playback
2. base speed is 3.60ghz
3. supports 2666mhz Ram
4. power consumption is 65w which is good compare to older model 8th gen which consumption is 95w
5. I am editing 4k@60 in Adobe premier pro smoothly using HyperX 2666 DDR4 32GB RAM
6. SketchUp,AutoCAD 3D,Photoshop,Corel Draw works very good while you have ssd and more Ram configuration with this processor
7. Mac OS In VMware works good as it's virtualaization works Good

I suggest to buy Desktop Processor comparing to Laptop Processor

1 Higher clock speed
2 Can be upgrade
3 supporting motherboard support higher Ram speed and size so you will love to work with your computer",faster processor speed in budget,"i like in 10000rs segment processor
1 inbuilt 4k support no need for graphics card for basic stuff like web browsing ms officewatching 4k video at 60fps  tested from oneplus 6t 4k60fps 
buttery smooth in playback
2 base speed is 360ghz
3 supports 2666mhz ram
4 power consumption is 65w which is good compare to older model 8th gen which consumption is 95w
5 i am editing 4k60 in adobe premier pro smoothly using hyperx 2666 ddr4 32gb ram
6 sketchupautocad 3dphotoshopcorel draw works very good while you have ssd and more ram configuration with this processor
7 mac os in vmware works good as its virtualaization works good

i suggest to buy desktop processor comparing to laptop processor

1 higher clock speed
2 can be upgrade
3 supporting motherboard support higher ram speed and size so you will love to work with your computer"
Best value for money budget intel processor as of now,"Satifactory normal work performance.
Yet to test the gaming capability.",positive,Best value for money budget intel processor as of now,"Satifactory normal work performance.
Yet to test the gaming capability.",best value for money budget intel processor as of now,"satifactory normal work performance
yet to test the gaming capability"
Good one,Good one,positive,Good one,Good one,good one,good one
Beyond words,"If u wanna beat your 8th gen i7 friend,,,here is the deal. 10th gen 4/8 core/thread with 4.3Ghz boost clock won't be a bottleneck for even rtx 2080 ti. I can see that my i3 10100 is bored at 30 % load when my rx 580 is struggling 100% to catch up with it while gaming.",negative,Beyond words,"If u wanna beat your 8th gen i7 friend,,,here is the deal. 10th gen 4/8 core/thread with 4.3Ghz boost clock won't be a bottleneck for even rtx 2080 ti. I can see that my i3 10100 is bored at 30 % load when my rx 580 is struggling 100% to catch up with it while gaming.",beyond words,if u wanna beat your 8th gen i7 friendhere is the deal 10th gen 48 corethread with 43ghz boost clock wont be a bottleneck for even rtx 2080 ti i can see that my i3 10100 is bored at 30  load when my rx 580 is struggling 100 to catch up with it while gaming
Inbuild with graphics,"Great work with gigabyte h460m motherboard with corsair 8gb ram...
Still powerful performance also graphics is also good..",positive,Inbuild with graphics,"Great work with gigabyte h460m motherboard with corsair 8gb ram...
Still powerful performance also graphics is also good..",inbuild with graphics,"great work with gigabyte h460m motherboard with corsair 8gb ram
still powerful performance also graphics is also good"
box was already open,Processor box was already open. But thank God processor was damaged.,neutral,box was already open,Processor box was already open. But thank God processor was damaged.,box was already open,processor box was already open but thank god processor was damaged
Divisor de águas! Excelente custo benefício!,Equivalente ao i7 da sétima geração e ao i5 da nona geração. Excelente custo benefício. A placa de vídeo onboard segura a maioria dos jogos em resolução baixa. controlador para até DDR4 2666. Se deseja DDr4 3200 melhor ir para a 11geração ou acima. Suporta bem uma GTX 1660 super. Não é uma maquina top mas resolve muuuiiito. Excetuando-se situações específicas de uso gráfico pesado excelente opção.,positive,Divisor de águas! Excelente custo benefício!,Equivalente ao i7 da sétima geração e ao i5 da nona geração. Excelente custo benefício. A placa de vídeo onboard segura a maioria dos jogos em resolução baixa. controlador para até DDR4 2666. Se deseja DDr4 3200 melhor ir para a 11geração ou acima. Suporta bem uma GTX 1660 super. Não é uma maquina top mas resolve muuuiiito. Excetuando-se situações específicas de uso gráfico pesado excelente opção.,divisor de guas excelente custo benefcio,equivalente ao i7 da stima gerao e ao i5 da nona gerao excelente custo benefcio a placa de vdeo onboard segura a maioria dos jogos em resoluo baixa controlador para at ddr4 2666 se deseja ddr4 3200 melhor ir para a 11gerao ou acima suporta bem uma gtx 1660 super no  uma maquina top mas resolve muuuiiito excetuandose situaes especficas de uso grfico pesado excelente opo
Best budget performer ever !,"I've had many different processors in the past. I find this 10100 one in particular, to give me the biggest bang for my buck! You have to spend quite a bit more to get more performance, and even then you'd only get like 15 to 25% more. The performance per CPU of this beauty is fantastic, plus you get more than ample performance when running many threads.",positive,Best budget performer ever !,"I've had many different processors in the past. I find this 10100 one in particular, to give me the biggest bang for my buck! You have to spend quite a bit more to get more performance, and even then you'd only get like 15 to 25% more. The performance per CPU of this beauty is fantastic, plus you get more than ample performance when running many threads.",best budget performer ever ,ive had many different processors in the past i find this 10100 one in particular to give me the biggest bang for my buck you have to spend quite a bit more to get more performance and even then youd only get like 15 to 25 more the performance per cpu of this beauty is fantastic plus you get more than ample performance when running many threads
Excelente procesador para gaming,"Yo tengo pc gaming, vengo de un procesador feo Pentium 4600, que corria los juegos, pero hasta ahi, es todo lo que hacia, no podia hacer nada mas que jugar y ya, no podria hacer streaming, no podia entrar a discord para platicar o estar en comunicacion, nada, tenia que hacer una cosa a la vez, me compre este procesador.. y literal, el inicio cambio de 25 segundos a 6.5 segundos (siiii, es mucha diferencia) y ahora puedo hacer streaming y estar en discord mientras juego sin problemas ni nada, super potente para ser un i3 y corre los juegos en 60fps sin problemas a full hd (tengo una nvidia 1050ti)",positive,Excelente procesador para gaming,"Yo tengo pc gaming, vengo de un procesador feo Pentium 4600, que corria los juegos, pero hasta ahi, es todo lo que hacia, no podia hacer nada mas que jugar y ya, no podria hacer streaming, no podia entrar a discord para platicar o estar en comunicacion, nada, tenia que hacer una cosa a la vez, me compre este procesador.. y literal, el inicio cambio de 25 segundos a 6.5 segundos (siiii, es mucha diferencia) y ahora puedo hacer streaming y estar en discord mientras juego sin problemas ni nada, super potente para ser un i3 y corre los juegos en 60fps sin problemas a full hd (tengo una nvidia 1050ti)",excelente procesador para gaming,yo tengo pc gaming vengo de un procesador feo pentium 4600 que corria los juegos pero hasta ahi es todo lo que hacia no podia hacer nada mas que jugar y ya no podria hacer streaming no podia entrar a discord para platicar o estar en comunicacion nada tenia que hacer una cosa a la vez me compre este procesador y literal el inicio cambio de 25 segundos a 65 segundos siiii es mucha diferencia y ahora puedo hacer streaming y estar en discord mientras juego sin problemas ni nada super potente para ser un i3 y corre los juegos en 60fps sin problemas a full hd tengo una nvidia 1050ti
"Great Budget CPU, Not Overclockable - Comes with Cooler","DISCLAIMER: This review covers 3 main items (CPU, MOBO, RAM). Links to the other parts are included (all available at Amazon for good prices). You'll read this review on each of the other parts as well.

WHY DID I BUY IT?
I recently built and absolute beast of a computer and kept my older one as a backup. Unfortunately, it decided to take a dive this past week with the motherboard failing catastropically. Given that it was 10 years old, I decided to replace the ""brains"" with something a little more modern, but not overkill. Because I had spent a LOT of money on a computer recently, I was trying to keep the repair under about $400 and here's what I did...

The BRAINS...
Intel i3-10100 Processor ($100): www.amazon.com/gp/product/B086MMRW87
MSI Mag B460 Motherboard ($110): www.amazon.com/gp/product/B08GXVP1DM
TeamGroup 16GB DDR4 ($60): www.amazon.com/gp/product/B07WNQVBZ6
*** These are the main parts that MUST be compatible.. and they are ***

I was worried about my hard drive, so I went ahead and splurged on a TeamGroup 1TB SSD ($75 -- www.amazon.com/gp/product/B07PX2KKHM) bringing my total to just under $400. I could have kept my old Seagate 500gb 5400 RPM drive but I had a little extra to spend and that greatly sped up boot and wait times.

For what it's worth, I also kept my existing Antec Power Supply (550W) that was replaced about a year ago, my case, and my now very old graphics card (R9 380 - 4gb). I already had a good monitor, mouse, and keyboard so those carried over as well.

So how did it go together? Pretty seamlessly with just 2 little hiccups.

HICCUP #1
RAM: I did not realize the motherboard I purchased has a standard RAM speed of 2666. It can get up to a max of 2933. So the RAM I purchased (3200 speed, CL 16) is overkill and I could have saved another $20 or so. But, I didn't... and it's my first build with TeamGroup RAM and I'm happy with it.

HICCUP #2
LAN/AUDIO: Once I got everything installed, the LAN would not connect to my network (wired, ethernet connection). A little troubleshooting found out YOU MUST TO UPGRADE THE LAN DRIVER for it to work. This means having another computer with internet and a flash drive. Likewise, I went ahead and updated the Audio driver and the sound was much crisper. So... take a moment and download all of the drivers in advance from the MSI website.

FIRST POWER ON: The computer started up, then turned off immediately. It then restarted on it's own and said the motherboard had detected changes so I needed to configure the BIOS. Entering BIOS found that everything was recognized. So I changed the first boot device to USB flash drive and plugged in my Windows 10 install flash drive and restarted.

Bottom Line: The Intel i3-10100 is a great little chip (not overclockable). The MSI 460 Torpedo is a decent motherboard (just update the LAN and Audio drivers) that boots quickly. In fact, it boots so quickly, I don't even see the POST screen. From cold to Windows is easily under 30 seconds.

The RAM is stable at 2666 and fast enough that I probably won't even push the 2933 setting. The SSD is very fast (functionally almost as fast as the M2 drive I have in my beast at a savings of $20-25). Even with the aging R9 graphics card, I'm easily hitting 60 FPS on modern titles at 1080 in medium to high settings. Sometime next year when graphics card prices drop to a reasonable level, I'll update that and have a second gaming rig ready.

Overall, I'm very happy with this setup.",positive,"Great Budget CPU, Not Overclockable - Comes with Cooler","DISCLAIMER: This review covers 3 main items (CPU, MOBO, RAM). Links to the other parts are included (all available at Amazon for good prices). You'll read this review on each of the other parts as well.

WHY DID I BUY IT?
I recently built and absolute beast of a computer and kept my older one as a backup. Unfortunately, it decided to take a dive this past week with the motherboard failing catastropically. Given that it was 10 years old, I decided to replace the ""brains"" with something a little more modern, but not overkill. Because I had spent a LOT of money on a computer recently, I was trying to keep the repair under about $400 and here's what I did...

The BRAINS...
Intel i3-10100 Processor ($100): www.amazon.com/gp/product/B086MMRW87
MSI Mag B460 Motherboard ($110): www.amazon.com/gp/product/B08GXVP1DM
TeamGroup 16GB DDR4 ($60): www.amazon.com/gp/product/B07WNQVBZ6
*** These are the main parts that MUST be compatible.. and they are ***

I was worried about my hard drive, so I went ahead and splurged on a TeamGroup 1TB SSD ($75 -- www.amazon.com/gp/product/B07PX2KKHM) bringing my total to just under $400. I could have kept my old Seagate 500gb 5400 RPM drive but I had a little extra to spend and that greatly sped up boot and wait times.

For what it's worth, I also kept my existing Antec Power Supply (550W) that was replaced about a year ago, my case, and my now very old graphics card (R9 380 - 4gb). I already had a good monitor, mouse, and keyboard so those carried over as well.

So how did it go together? Pretty seamlessly with just 2 little hiccups.

HICCUP #1
RAM: I did not realize the motherboard I purchased has a standard RAM speed of 2666. It can get up to a max of 2933. So the RAM I purchased (3200 speed, CL 16) is overkill and I could have saved another $20 or so. But, I didn't... and it's my first build with TeamGroup RAM and I'm happy with it.

HICCUP #2
LAN/AUDIO: Once I got everything installed, the LAN would not connect to my network (wired, ethernet connection). A little troubleshooting found out YOU MUST TO UPGRADE THE LAN DRIVER for it to work. This means having another computer with internet and a flash drive. Likewise, I went ahead and updated the Audio driver and the sound was much crisper. So... take a moment and download all of the drivers in advance from the MSI website.

FIRST POWER ON: The computer started up, then turned off immediately. It then restarted on it's own and said the motherboard had detected changes so I needed to configure the BIOS. Entering BIOS found that everything was recognized. So I changed the first boot device to USB flash drive and plugged in my Windows 10 install flash drive and restarted.

Bottom Line: The Intel i3-10100 is a great little chip (not overclockable). The MSI 460 Torpedo is a decent motherboard (just update the LAN and Audio drivers) that boots quickly. In fact, it boots so quickly, I don't even see the POST screen. From cold to Windows is easily under 30 seconds.

The RAM is stable at 2666 and fast enough that I probably won't even push the 2933 setting. The SSD is very fast (functionally almost as fast as the M2 drive I have in my beast at a savings of $20-25). Even with the aging R9 graphics card, I'm easily hitting 60 FPS on modern titles at 1080 in medium to high settings. Sometime next year when graphics card prices drop to a reasonable level, I'll update that and have a second gaming rig ready.

Overall, I'm very happy with this setup.",great budget cpu not overclockable  comes with cooler,"disclaimer this review covers 3 main items cpu mobo ram links to the other parts are included all available at amazon for good prices youll read this review on each of the other parts as well

why did i buy it
i recently built and absolute beast of a computer and kept my older one as a backup unfortunately it decided to take a dive this past week with the motherboard failing catastropically given that it was 10 years old i decided to replace the brains with something a little more modern but not overkill because i had spent a lot of money on a computer recently i was trying to keep the repair under about 400 and heres what i did

the brains
intel i310100 processor 100 wwwamazoncomgpproductb086mmrw87
msi mag b460 motherboard 110 wwwamazoncomgpproductb08gxvp1dm
teamgroup 16gb ddr4 60 wwwamazoncomgpproductb07wnqvbz6
 these are the main parts that must be compatible and they are 

i was worried about my hard drive so i went ahead and splurged on a teamgroup 1tb ssd 75  wwwamazoncomgpproductb07px2kkhm bringing my total to just under 400 i could have kept my old seagate 500gb 5400 rpm drive but i had a little extra to spend and that greatly sped up boot and wait times

for what its worth i also kept my existing antec power supply 550w that was replaced about a year ago my case and my now very old graphics card r9 380  4gb i already had a good monitor mouse and keyboard so those carried over as well

so how did it go together pretty seamlessly with just 2 little hiccups

hiccup 1
ram i did not realize the motherboard i purchased has a standard ram speed of 2666 it can get up to a max of 2933 so the ram i purchased 3200 speed cl 16 is overkill and i could have saved another 20 or so but i didnt and its my first build with teamgroup ram and im happy with it

hiccup 2
lanaudio once i got everything installed the lan would not connect to my network wired ethernet connection a little troubleshooting found out you must to upgrade the lan driver for it to work this means having another computer with internet and a flash drive likewise i went ahead and updated the audio driver and the sound was much crisper so take a moment and download all of the drivers in advance from the msi website

first power on the computer started up then turned off immediately it then restarted on its own and said the motherboard had detected changes so i needed to configure the bios entering bios found that everything was recognized so i changed the first boot device to usb flash drive and plugged in my windows 10 install flash drive and restarted

bottom line the intel i310100 is a great little chip not overclockable the msi 460 torpedo is a decent motherboard just update the lan and audio drivers that boots quickly in fact it boots so quickly i dont even see the post screen from cold to windows is easily under 30 seconds

the ram is stable at 2666 and fast enough that i probably wont even push the 2933 setting the ssd is very fast functionally almost as fast as the m2 drive i have in my beast at a savings of 2025 even with the aging r9 graphics card im easily hitting 60 fps on modern titles at 1080 in medium to high settings sometime next year when graphics card prices drop to a reasonable level ill update that and have a second gaming rig ready

overall im very happy with this setup"
Che bomba!,"Pagato 125 euro. Una bomba! Entry level quad core, nuovo chispet lga 1200. Intel, con questa gamma, ha fatto un bel salto avanti e nel mercato entry level si è piazzata decisamente davanti ai cari vecchi ryzen. Ho costruito una build per uso domestico/piccolo ufficio con poche centinaia di euro, ed il risultato è stato più che ottimo!
Ricordo che per chi è alla ricerca di una build decente (NON votata al gaming) questa è un'ottima scelta, considerando anche la grafica integrata che fa risparmiare sulla scheda video. E per chi volesse proprio concedersi un pò di momento ludico, qui fortnite e titoli simili non faticano.
L'unica pecca (ma il periodo è quello che è) è che si trovano poche schede madri lga 1200 ad un prezzo consono.",neutral,Che bomba!,"Pagato 125 euro. Una bomba! Entry level quad core, nuovo chispet lga 1200. Intel, con questa gamma, ha fatto un bel salto avanti e nel mercato entry level si è piazzata decisamente davanti ai cari vecchi ryzen. Ho costruito una build per uso domestico/piccolo ufficio con poche centinaia di euro, ed il risultato è stato più che ottimo!
Ricordo che per chi è alla ricerca di una build decente (NON votata al gaming) questa è un'ottima scelta, considerando anche la grafica integrata che fa risparmiare sulla scheda video. E per chi volesse proprio concedersi un pò di momento ludico, qui fortnite e titoli simili non faticano.
L'unica pecca (ma il periodo è quello che è) è che si trovano poche schede madri lga 1200 ad un prezzo consono.",che bomba,"pagato 125 euro una bomba entry level quad core nuovo chispet lga 1200 intel con questa gamma ha fatto un bel salto avanti e nel mercato entry level si  piazzata decisamente davanti ai cari vecchi ryzen ho costruito una build per uso domesticopiccolo ufficio con poche centinaia di euro ed il risultato  stato pi che ottimo
ricordo che per chi  alla ricerca di una build decente non votata al gaming questa  unottima scelta considerando anche la grafica integrata che fa risparmiare sulla scheda video e per chi volesse proprio concedersi un p di momento ludico qui fortnite e titoli simili non faticano
lunica pecca ma il periodo  quello che   che si trovano poche schede madri lga 1200 ad un prezzo consono"
